序号,时间,粗钢:产量:日本(千吨),粗钢:产量:韩国(千吨),粗钢:产量:英国(千吨),粗钢:产量:美国(千吨)
1,1967,62154,300,24324,115406
2,1968,66893,372,26399,119260
3,1969,82166,373,26896,128151
4,1970,93322,481,27833,119307
5,1971,88557,472,24219,109264
6,1972,96900,586,25431,120874
7,1973,119322,1157,26594,136802
8,1974,117131,1947,22323,132195
9,1975,102313,1994,20098,105816
10,1976,107399,3511,22274,116120
11,1977,102405,4346,20411,113700
12,1978,102105,4969,20311,124313
13,1979,111748,7610,21464,123688
14,1980,111395,8558,11277,101456
15,1981,101676,10753,15573,109614
16,1982,99548,11758,13704,67656
17,1983,97179,11915,14986,76762
18,1984,105586,13034,15121,83940
19,1985,105279,13539,15722,80067
20,1986,98275,14555,14725,74031
21,1987,98513,16782,17414,80876
22,1988,105681,19118,18950,90650
23,1989,107908,21873,18740,88852
24,1990,110339,23125,17841,89726
25,1991,109649,26001,16474,79738
26,1992,98132,28055,16212,84322
27,1993,99623,33026,16625,88793
28,1994,98295,33745,17286,91244
29,1995,101640,36772,17604,95191
30,1996,98801,38903,17992,95535
31,1997,104545,42554,18501,98485
32,1998,93548,39896,17315,98658
33,1999,94192,41042,16298,97427
34,2000,106444,43107,15155,101803
35,2001,102866,43852,13543,90104
36,2002,107745,45390,11667,91587
37,2003,110511,46310,13268,93677
38,2004,112718,47521,13766,99681
39,2005,112471,47820,13239,94897
40,2006,116226,48455,13871,98557
41,2007,120203,51517,14317,98102
42,2008,118739,53625,13521,91350
43,2009,87534,48572,10079,58196
44,2010,109599,58363,9709,80495
45,2011,107595,68471,9481,86247
46,2012,107235,69321,9756,88598
47,2013,110595,66061,11858,86878
48,2014,110666,71543,12120,88174
49,2015,105134,69670,10907,78845
50,2016,104774.09,68567.48,7635.04,78475.02
51,2017,104661,71081,7508,81640
52,2018,104318.84,72464.04,7267.66,86607.39
数据来源：前瞻数据库 https://d.qianzhan.com
